Name	WikipediaLink	Source
Aronson, B	https://en.wikipedia.org/wiki/Boris_Aronson	md
Bush, Vannevar	https://en.wikipedia.org/wiki/Vannevar_Bush	md
Metric System	https://en.wikipedia.org/wiki/Metric_system	md
James, William 2	https://en.wikipedia.org/wiki/William_James	md
Galvanizing	https://en.wikipedia.org/wiki/Galvanization	md
Sandwich	https://en.wikipedia.org/wiki/Sandwich	md
Hawthorn Expt.	https://en.wikipedia.org/wiki/Hawthorne_effect	md
Abulafia	https://en.wikipedia.org/wiki/Abraham_Abulafia	md
homeostasis	https://en.wikipedia.org/wiki/Homeostasis	md
Cannon, WB	https://en.wikipedia.org/wiki/Walter_Bradford_Cannon	md
Shackleton	https://en.wikipedia.org/wiki/Ernest_Shackleton	md
Uncertainty Principle	https://en.wikipedia.org/wiki/Uncertainty_principle	md
Expo of products of French Industry	https://en.wikipedia.org/wiki/Exposition_des_produits_de_l%27industrie_fran%C3%A7aise	md
Housman AE	https://en.wikipedia.org/wiki/A._E._Housman	md
El Greco	https://en.wikipedia.org/wiki/El_Greco	md
Silliman, Benjamin Snr	https://en.wikipedia.org/wiki/Benjamin_Silliman	md
Jackson, Andrew	https://en.wikipedia.org/wiki/Andrew_Jackson	md
Beccaria, C	https://en.wikipedia.org/wiki/Cesare_Beccaria	md
Gilbert & Sullivan  C4xtra	https://en.wikipedia.org/wiki/Gilbert_and_Sullivan	md
Bryant WC	https://en.wikipedia.org/wiki/William_Cullen_Bryant	md
Carborundum	https://en.wikipedia.org/wiki/Silicon_carbide	md
Carburetor	https://en.wikipedia.org/wiki/Carburetor	md
Airbrake	https://en.wikipedia.org/wiki/Railway_air_brake	md
Averroes	https://en.wikipedia.org/wiki/Averroes	md
Bentham J	https://en.wikipedia.org/wiki/Jeremy_Bentham	md
Vermeer	https://en.wikipedia.org/wiki/Johannes_Vermeer	md
Beethoven 2	https://en.wikipedia.org/wiki/Ludwig_van_Beethoven	md
Bleach	https://en.wikipedia.org/wiki/Bleach	md
Galton, F Sir	https://en.wikipedia.org/wiki/Francis_Galton	md
Eliot, George	https://en.wikipedia.org/wiki/George_Eliot	md
Gravity	https://en.wikipedia.org/wiki/Gravity	md
Catherine II the Great	https://en.wikipedia.org/wiki/Catherine_the_Great	md
Shelley, Mary	https://en.wikipedia.org/wiki/Mary_Shelley	md
Carson EH	https://en.wikipedia.org/wiki/Edward_Carson	md
Hawthorne, Nathaniel	https://en.wikipedia.org/wiki/Nathaniel_Hawthorne	md
Double refraction	https://en.wikipedia.org/wiki/Birefringence	md
Courtauld S	https://en.wikipedia.org/wiki/Samuel_Courtauld_(art_collector	md
pencil	https://en.wikipedia.org/wiki/Pencil	md
Armstrong, L 2	https://en.wikipedia.org/wiki/Louis_Armstrong	md
Shovell, Adm	https://en.wikipedia.org/wiki/Cloudesley_Shovell	md
Gamow	https://en.wikipedia.org/wiki/George_Gamow	md
Meteorology	https://en.wikipedia.org/wiki/Meteorology	md
Modigliani	https://en.wikipedia.org/wiki/Amedeo_Modigliani	md
Grant, Ulysses	https://en.wikipedia.org/wiki/Ulysses_S._Grant	md
Jenner 2	https://en.wikipedia.org/wiki/Edward_Jenner	md
De Stael	https://en.wikipedia.org/wiki/Germaine_de_Sta%C3%ABl	md
Nelson's Column	https://en.wikipedia.org/wiki/Nelson%27s_Column	md
Frick HC	https://en.wikipedia.org/wiki/Henry_Clay_Frick	md
Jefferson, Th 2	https://en.wikipedia.org/wiki/Thomas_Jefferson	md
Bennet, J Gordon	https://en.wikipedia.org/wiki/James_Gordon_Bennett_Sr.	md
Goya	https://en.wikipedia.org/wiki/Francisco_Goya	md
Plankton	https://en.wikipedia.org/wiki/Plankton	md
safety razor	https://en.wikipedia.org/wiki/Safety_razor	md
gyroscope	https://en.wikipedia.org/wiki/Gyroscope	md
Kropotkin P	https://en.wikipedia.org/wiki/Peter_Kropotkin	md
Clinton DeWitt	https://en.wikipedia.org/wiki/DeWitt_Clinton	md
